resid,lipid_type,mean_heads,mean_tails,std_heads,std_tails,ratio_heads_tails,ratio_std_heads_tails,corr_heads_tails,min_heads,max_heads,range_heads,min_tails,max_tails,range_tails,target
36,DPSM,1.7311993590100485e-05,1.6236991480387342e-05,2.148945270271964e-05,2.3436160688370972e-05,1.0662069762746158,0.9169357126563273,0.9226146493512761,0.0,0.00016586840768957235,0.00016586840768957235,0.0,0.00018340182950034463,0.00018340182950034463,0
40,DPSM,1.7248059915569195e-05,1.6414590164986795e-05,2.1385881716255918e-05,2.369593816757488e-05,1.0507761535441948,0.902512555739194,0.9234660611591126,0.0,0.00015853009667573262,0.00015853009667573262,0.0,0.00018584165539224534,0.00018584165539224534,0
41,DPSM,1.7292676469623573e-05,1.6469971716689726e-05,2.144473044933603e-05,2.375631118645116e-05,1.0499518011983084,0.9026961417127132,0.9234099057170334,0.0,0.00015785742330516028,0.00015785742330516028,0.0,0.00018737500238392632,0.00018737500238392632,0
42,DPSM,1.7269217957953274e-05,1.6375693375772564e-05,2.140575368304658e-05,2.3620662615814035e-05,1.0545640762608963,0.9062300254318618,0.9233339469691867,0.0,0.00016085171202340632,0.00016085171202340632,0.0,0.0001829438274314406,0.0001829438274314406,0
43,DPSM,1.7175155854909464e-05,1.6283572055901797e-05,2.1284277842567856e-05,2.348530984011175e-05,1.05475357593204,0.9062804786256369,0.9229673998943767,0.0,0.00015946028490105527,0.00015946028490105527,0.0,0.0001826325136868711,0.0001826325136868711,0
44,DPSM,1.717186533626598e-05,1.628209390806768e-05,2.124633922851667e-05,2.3509310110913533e-05,1.0546472359895567,0.9037415019104987,0.9225474209841283,0.0,0.0001511646631431969,0.0001511646631431969,0.0,0.00018887359960857882,0.00018887359960857882,0
45,DPSM,1.717745743399268e-05,1.6168203131442722e-05,2.1284954461736858e-05,2.328654386718699e-05,1.0624221686445314,0.914045235013575,0.9230677883995211,0.0,0.00015741052854392493,0.00015741052854392493,0.0,0.00018047494092134718,0.00018047494092134718,0
46,DPSM,1.7370673304145637e-05,1.6455349475284815e-05,2.1563242384661208e-05,2.3744643351703733e-05,1.055624697016347,0.9081308177709055,0.9237388974160392,0.0,0.00015577334189756267,0.00015577334189756267,0.0,0.00018543469266712022,0.00018543469266712022,0
47,DPSM,1.7220271347156913e-05,1.627226613290886e-05,2.1374014806568205e-05,2.349110735515111e-05,1.0582589546228487,0.9098768518411853,0.9232855890916888,0.0,0.0001614737731908475,0.0001614737731908475,0.0,0.00018176829963739507,0.00018176829963739507,0
48,DPSM,1.7281727560787773e-05,1.644937339052895e-05,2.1449150931212387e-05,2.3754335499578392e-05,1.0506009651855837,0.9029573120070263,0.9235947017969874,0.0,0.00015656498778976487,0.00015656498778976487,0.0,0.0001861483247905824,0.0001861483247905824,0
